Unnamed: 0,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,police,police
4,pensais,thought
5,aide,help
6,demande,request
7,genre,kind
8,mois,month
9,frère,brother
11,car,because
12,mettre,to put
13,aucun,no
14,eux,them
15,ville,city
16,chaque,each
17,parlé,speak
18,arrivé,come
19,devrait,should
20,bébé,baby
22,heures,hours
23,vont,will
24,pendant,while
25,revoir,meet again
26,place,square
27,parle,speak
28,compris,understood
29,savais,knew
30,étaient,were
32,voici,here is
33,pourrais,could
34,affaire,case
35,donner,give
36,donné,given
37,train,train
38,corps,body
39,endroit,place
40,yeux,eyes
41,façon,way
42,écoute,listen
43,dont,whose
45,premier,first
46,perdu,lost
47,main,hand
48,première,first
50,pouvoir,power
51,vieux,old
52,sois,be
53,tiens,here
54,matin,morning
55,tellement,so much
56,enfant,child
57,point,point
58,venu,came
59,suite,after
60,pardon,sorry
61,venez,come
62,devant,in front of
63,vers,towards
64,minutes,minutes
65,demandé,request
66,chambre,bedroom
67,mis,placed
69,droit,law
70,aimerais,would like to
71,aujourd'hui,today
73,espère,hope
74,eau,water
75,parti,left
76,nouvelle,new
78,arrêter,Stop
79,dirait,would say
80,terre,Earth
81,compte,account
83,loin,far
84,fin,end
85,croire,believe
86,chérie,sweetheart
87,gros,large
89,filles,girls
90,jouer,to play
